Institution,Degree,Title_Of_Certification,Worker_ID
University of California,Master's Degree,Physical Therapy Certification,1
Stanford University,Bachelor's Degree,Occupational Therapy Certification,2
University of Michigan,Master's Degree,Nursing Certification,3
Harvard University,Doctorate,Medical Doctor Certification,4
Massachusetts Institute of Technology,Bachelor's Degree,Speech-Language Pathology Certification,5
Yale University,Master's Degree,Home Health Aide Certification,6
Columbia University,Doctorate,Physical Therapy Doctorate,7
University of Oxford,Bachelor's Degree,Occupational Therapy Certification,8
University of Cambridge,Master's Degree,Nursing Practitioner Certification,9
Imperial College London,Doctorate,Medical Assistant Doctorate,10
University of Chicago,Master's Degree,Speech-Language Pathology Certification,11
University of Pennsylvania,Bachelor's Degree,Physical Therapy Certification,12
University of Tokyo,Master's Degree,Occupational Therapy Doctorate,13
University College London,Doctorate,Nursing Doctorate,14
ETH Zurich,Bachelor's Degree,Medical Assistant Certification,15
National University of Singapore,Master's Degree,Speech-Language Pathology Doctorate,16
University of Toronto,Doctorate,Medical Doctor Certification,17
Tsinghua University,Bachelor's Degree,Physical Therapy Certification,18
University of Hong Kong,Master's Degree,Nursing Certification,19
Peking University,Doctorate,Occupational Therapy Doctorate,20
University of Melbourne,Bachelor's Degree,Medical Assistant Certification,21
University of Sydney,Master's Degree,Physical Therapy Doctorate,22
University of Auckland,Doctorate,Medical Doctor Certification,23
University of Cape Town,Bachelor's Degree,Occupational Therapy Certification,24
University of Sao Paulo,Master's Degree,Speech-Language Pathology Certification,25
University of Buenos Aires,Doctorate,Nursing Doctorate,26
University of Cape Town,Bachelor's Degree,Medical Assistant Certification,27
University of Nairobi,Master's Degree,Occupational Therapy Doctorate,28
University of Lagos,Doctorate,Medical Doctor Certification,29
University of Pretoria,Bachelor's Degree,Physical Therapy Certification,30
University of Ghana,Master's Degree,Speech-Language Pathology Doctorate,31
University of Johannesburg,Doctorate,Medical Assistant Doctorate,32
University of Pretoria,Bachelor's Degree,Nursing Certification,33
University of Witwatersrand,Master's Degree,Physical Therapy Doctorate,34
University of Nairobi,Doctorate,Occupational Therapy Doctorate,35
Makerere University,Bachelor's Degree,Medical Doctor Certification,36
University of Cape Town,Master's Degree,Speech-Language Pathology Certification,37
University of Nairobi,Doctorate,Nursing Doctorate,38
University of Dar es Salaam,Bachelor's Degree,Medical Assistant Certification,39
University of Nairobi,Master's Degree,Physical Therapy Doctorate,40
University of Lagos,Doctorate,Occupational Therapy Doctorate,41
University of Cape Town,Bachelor's Degree,Medical Doctor Certification,42
University of Ghana,Master's Degree,Nursing Practitioner Certification,43
University of Nairobi,Doctorate,Physical Therapy Doctorate,44
University of Lagos,Bachelor's Degree,Occupational Therapy Certification,45
University of Ghana,Master's Degree,Home Health Aide Certification,46
University of Cape Town,Doctorate,Speech-Language Pathology Doctorate,47
University of Nairobi,Bachelor's Degree,Medical Assistant Certification,48
University of Lagos,Master's Degree,Nursing Certification,49
University of Ghana,Doctorate,Medical Doctor Certification,50
University of Nairobi,Bachelor's Degree,Physical Therapy Certification,51
University of Lagos,Master's Degree,Occupational Therapy Doctorate,52
University of Cape Town,Doctorate,Medical Assistant Doctorate,53
University of Nairobi,Bachelor's Degree,Speech-Language Pathology Certification,54
University of Lagos,Master's Degree,Nursing Doctorate,55
University of Ghana,Doctorate,Physical Therapy Doctorate,56
University of Cape Town,Bachelor's Degree,Occupational Therapy Certification,57
University of Nairobi,Master's Degree,Home Health Aide Certification,58
University of Lagos,Doctorate,Speech-Language Pathology Doctorate,59
University of Ghana,Bachelor's Degree,Medical Assistant Certification,60
University of Cape Town,Master's Degree,Nursing Certification,61
University of Nairobi,Doctorate,Medical Doctor Certification,62
University of Lagos,Bachelor's Degree,Physical Therapy Certification,63
University of Ghana,Master's Degree,Occupational Therapy Doctorate,64
University of Cape Town,Doctorate,Medical Assistant Doctorate,65
University of Nairobi,Bachelor's Degree,Nursing Practitioner Certification,66
University of Lagos,Master's Degree,Physical Therapy Doctorate,67
University of Ghana,Doctorate,Occupational Therapy Doctorate,68
University of Cape Town,Bachelor's Degree,Medical Doctor Certification,69
University of Nairobi,Master's Degree,Speech-Language Pathology Certification,70
University of Lagos,Doctorate,Nursing Doctorate,71
University of Ghana,Bachelor's Degree,Medical Assistant Certification,72
University of Cape Town,Master's Degree,Physical Therapy Doctorate,73
University of Nairobi,Doctorate,Occupational Therapy Doctorate,74
University of Lagos,Bachelor's Degree,Home Health Aide Certification,75
University of Ghana,Master's Degree,Speech-Language Pathology Doctorate,76
University of Cape Town,Doctorate,Medical Assistant Doctorate,77
University of Nairobi,Bachelor's Degree,Nursing Certification,78
University of Lagos,Master's Degree,Physical Therapy Certification,79
University of Ghana,Doctorate,Occupational Therapy Doctorate,80
University of Cape Town,Bachelor's Degree,Medical Doctor Certification,81
University of Nairobi,Master's Degree,Speech-Language Pathology Certification,82
University of Lagos,Doctorate,Nursing Doctorate,83
University of Ghana,Bachelor's Degree,Medical Assistant Certification,84
University of Cape Town,Master's Degree,Nursing Certification,85
University of Nairobi,Doctorate,Medical Doctor Certification,86
University of Lagos,Bachelor's Degree,Physical Therapy Certification,87
University of Ghana,Master's Degree,Occupational Therapy Doctorate,88
University of Cape Town,Doctorate,Medical Assistant Doctorate,89
University of Nairobi,Bachelor's Degree,Speech-Language Pathology Certification,90
University of Lagos,Master's Degree,Nursing Doctorate,91
University of Ghana,Doctorate,Physical Therapy Doctorate,92
University of Cape Town,Bachelor's Degree,Occupational Therapy Certification,93
University of Nairobi,Master's Degree,Home Health Aide Certification,94
University of Lagos,Doctorate,Speech-Language Pathology Doctorate,95
University of Ghana,Bachelor's Degree,Medical Assistant Certification,96
University of Cape Town,Master's Degree,Physical Therapy Doctorate,97
University of Nairobi,Doctorate,Occupational Therapy Doctorate,98
University of Lagos,Bachelor's Degree,Home Health Aide Certification,99
University of Ghana,Master's Degree,Speech-Language Pathology Doctorate,100
